libbz2-1.0	dependency	auto (unclassified)	1	3	96	dpkg,libapt-pkg7.0,libsemanage2	-
libc6	core	manual (tiers/core.txt)	1	122	13226	apt,apt-utils,base-passwd,bash,bsdutils,coreutils,cpio,cron,dash,debianutils,dhcpcd-base,diffutils,dmidecode,dpkg,e2fsprogs,fdisk,findutils,grep,gzip,hostname,ifupdown,iproute2,iputils-ping,kmod,less,libacl1,libapparmor1,libapt-pkg7.0,libattr1,libaudit1,libblkid1,libbpf1,libbsd0,libbz2-1.0,libcap2-bin,libcap2,libcap-ng0,libc-bin,libc-bin,libcom-err2,libcrypt1,libdb5.3t64,libdebconfclient0,libedit2,libelf1t64,libext2fs2t64,libfdisk1,libgcc-s1,libgmp10,libgssapi-krb5-2,libhogweed6t64,libidn2-0,libjansson4,libk5crypto3,libkeyutils1,libkmod2,libkrb5-3,libkrb5support0,liblastlog2-2,liblocale-gettext-perl,liblz4-1,liblzma5,libmd0,libmnl0,libmount1,libncursesw6,libnettle8t64,libnewt0.52,libnftables1,libnftnl11,libpam0g,libpam-modules-bin,libpam-modules,libpcre2-8-0,libpopt0,libproc2-0,libreadline8t64,libseccomp2,libselinux1,libsemanage2,libsepol2,libslang2,libsmartcols1,libsqlite3-0,libss2,libssl3t64,libstdc++6,libsystemd0,libsystemd-shared,libtext-charwidth-perl,libtext-iconv-perl,libtinfo6,libtirpc3t64,libudev1,libunistring5,libuuid1,libxtables12,libxxhash0,libzstd1,login,logrotate,logsave,mawk,mount,nano,ncurses-bin,nftables,openssl-provider-legacy,passwd,perl-base,procps,sed,sqv,systemd,systemd,sysvinit-utils,tar,udev,util-linux,vim-tiny,whiptail,zlib1g	-
libcap2	dependency	auto (unclassified)	1	7	92	coreutils,iproute2,iputils-ping,libcap2-bin,libsystemd0,libsystemd-shared,libudev1	-
libcap2-bin	debian-essential	auto (Priority/Essential)	2	1	132	iproute2	-
libcap-ng0	dependency	auto (unclassified)	1	2	66	libaudit1,util-linux	-
libc-bin	core	manual (tiers/core.txt)	2	0	2122	-	-
libcom-err2	dependency	auto (unclassified)	1	4	64	e2fsprogs,libgssapi-krb5-2,libkrb5-3,libss2	-
libcrypt1	dependency	auto (unclassified)	1	7	234	libpam-modules-bin,libpam-modules,libsystemd-shared,login,passwd,perl-base,util-linux	-
libdb5.3t64	dependency	auto (unclassified)	1	3	1854	apt-utils,iproute2,libpam-modules	-
libdebconfclient0	dependency	auto (unclassified)	1	1	38	base-passwd	-
libedit2	dependency	auto (unclassified)	3	1	262	nftables	-
libelf1t64	dependency	auto (unclassified)	3	2	1228	iproute2,libbpf1	-
libext2fs2t64	dependency	auto (unclassified)	1	1	557	e2fsprogs	-
libfdisk1	dependency	auto (unclassified)	3	1	584	fdisk	-
libgcc-s1	dependency	auto (unclassified)	2	6	197	apt,apt-utils,libapt-pkg7.0,libc6,libstdc++6,sqv	-
libgmp10	dependency	auto (unclassified)	1	4	882	coreutils,libhogweed6t64,libnftables1,sqv	-
libgssapi-krb5-2	dependency	auto (unclassified)	5	1	434	libtirpc3t64	-
libhogweed6t64	dependency	auto (unclassified)	3	1	483	sqv	-
libidn2-0	dependency	auto (unclassified)	2	1	446	iputils-ping	-
libjansson4	dependency	auto (unclassified)	1	1	100	libnftables1	-
libk5crypto3	dependency	auto (unclassified)	2	2	266	libgssapi-krb5-2,libkrb5-3	-
libkeyutils1	dependency	auto (unclassified)	1	1	41	libkrb5-3	-
libkmod2	dependency	auto (unclassified)	2	2	144	kmod,udev	-
libkrb5-3	dependency	auto (unclassified)	6	1	1074	libgssapi-krb5-2	-
libkrb5support0	dependency	auto (unclassified)	1	3	137	libgssapi-krb5-2,libk5crypto3,libkrb5-3	-
liblastlog2-2	dependency	auto (unclassified)	2	1	75	util-linux	-
liblocale-gettext-perl	debian-essential	auto (Priority/Essential)	3	1	53	debconf-i18n	-
liblz4-1	dependency	auto (unclassified)	2	1	173	libapt-pkg7.0	-
liblzma5	dependency	auto (unclassified)	1	2	435	dpkg,libapt-pkg7.0	-
libmd0	dependency	auto (unclassified)	1	2	94	dpkg,libbsd0	-
libmnl0	dependency	auto (unclassified)	1	3	45	iproute2,libnftables1,libnftnl11	-
libmount1	dependency	auto (unclassified)	3	5	565	fdisk,libsystemd-shared,mount,systemd,util-linux	-
libncursesw6	dependency	auto (unclassified)	2	3	419	fdisk,nano,procps	-
libnettle8t64	dependency	auto (unclassified)	1	2	560	libhogweed6t64,sqv	-
libnewt0.52	dependency	auto (unclassified)	2	1	365	whiptail	-
libnftables1	dependency	auto (unclassified)	6	1	1054	nftables	-
libnftnl11	dependency	auto (unclassified)	2	1	244	libnftables1	-
libpam0g	architectural	manual (tiers/architectural.txt)	4	8	194	cron,libpam-modules-bin,libpam-modules,libsystemd-shared,login,passwd,systemd,util-linux	-
libpam-modules	architectural	manual (tiers/architectural.txt)	10	4	923	libpam-runtime,login,passwd,util-linux	-
libpam-modules-bin	architectural	manual (tiers/architectural.txt)	6	1	206	libpam-modules	-
libpam-runtime	architectural	manual (tiers/architectural.txt)	5	3	1028	cron,login,util-linux	-
libpcre2-8-0	dependency	auto (unclassified)	1	2	774	grep,libselinux1	-
libpopt0	dependency	auto (unclassified)	1	2	245	logrotate,whiptail	-
libproc2-0	dependency	auto (unclassified)	2	1	237	procps	-
libreadline8t64	dependency	auto (unclassified)	3	1	485	fdisk	-
libseccomp2	dependency	auto (unclassified)	1	3	201	apt,libsystemd-shared,systemd	-
libselinux1	dependency	auto (unclassified)	2	19	229	base-passwd,coreutils,cron,dpkg,findutils,iproute2,libmount1,libpam-modules-bin,libpam-modules,libsemanage2,libsystemd-shared,logrotate,mount,passwd,sed,systemd,tar,util-linux,vim-tiny	-
libsemanage2	dependency	auto (unclassified)	6	1	313	passwd	-
libsemanage-common	dependency	auto (unclassified)	0	1	21	libsemanage2	-
libsepol2	dependency	auto (unclassified)	1	1	835	libsemanage2	-
libslang2	dependency	auto (unclassified)	1	2	2395	libnewt0.52,whiptail	-
libsmartcols1	dependency	auto (unclassified)	1	3	377	fdisk,mount,util-linux	-
libsqlite3-0	dependency	auto (unclassified)	1	1	1834	liblastlog2-2	-
libss2	dependency	auto (unclassified)	2	1	80	e2fsprogs	-
libssl3t64	dependency	auto (unclassified)	4	10	8099	apt,coreutils,dhcpcd-base,kmod,libapt-pkg7.0,libkmod2,libkrb5-3,libsystemd-shared,openssl-provider-legacy,systemd	-
libstdc++6	dependency	auto (unclassified)	3	3	3019	apt,apt-utils,libapt-pkg7.0	-
libsystemd0	dependency	auto (unclassified)	2	10	1223	apt,bsdutils,coreutils,libapt-pkg7.0,libpam-modules-bin,libpam-modules,libproc2-0,procps,systemd,util-linux	-
libsystemd-shared	dependency	auto (unclassified)	11	2	6825	systemd,udev	-
libtext-charwidth-perl	debian-essential	auto (Priority/Essential)	3	2	42	debconf-i18n,libtext-wrapi18n-perl	-
libtext-iconv-perl	debian-essential	auto (Priority/Essential)	3	1	50	debconf-i18n	-
libtext-wrapi18n-perl	debian-essential	auto (Priority/Essential)	1	1	26	debconf-i18n	-
libtinfo6	dependency	auto (unclassified)	1	11	569	bash,fdisk,less,libedit2,libncursesw6,libreadline8t64,nano,ncurses-bin,procps,util-linux,vim-tiny	-
libtirpc3t64	dependency	auto (unclassified)	3	1	236	iproute2	-
libtirpc-common	dependency	auto (unclassified)	0	1	32	libtirpc3t64	-
libudev1	dependency	auto (unclassified)	2	4	357	dhcpcd-base,libapt-pkg7.0,udev,util-linux	-
libunistring5	dependency	auto (unclassified)	1	1	2092	libidn2-0	-
libuuid1	dependency	auto (unclassified)	1	3	98	e2fsprogs,libfdisk1,util-linux	-
libxtables12	dependency	auto (unclassified)	1	2	101	iproute2,libnftables1	-
libxxhash0	dependency	auto (unclassified)	1	2	92	libapt-pkg7.0,liblz4-1	-
libzstd1	dependency	auto (unclassified)	1	4	847	dpkg,libapt-pkg7.0,libelf1t64,libssl3t64	-
linux-sysctl-defaults	debian-essential	auto (Priority/Essential)	0	0	19	-	-
login	debian-essential	auto (Priority/Essential)	7	0	284	-	-
login.defs	debian-essential	auto (Priority/Essential)	0	2	214	login,passwd	-
logrotate	utility	manual (tiers/utility.txt)	8	0	151	-	-
logsave	dependency	auto (unclassified)	1	1	59	e2fsprogs	-
mawk	debian-essential	auto (Priority/Essential)	1	0	292	-	-
mount	architectural	manual (tiers/architectural.txt)	5	1	496	systemd	-
nano	utility	manual (tiers/utility.txt)	3	0	2839	-	-
ncurses-base	debian-essential	auto (Priority/Essential)	0	0	389	-	-
ncurses-bin	debian-essential	auto (Priority/Essential)	2	0	665	-	-
netbase	debian-essential	auto (Priority/Essential)	0	0	35	-	-
nftables	architectural	manual (tiers/architectural.txt)	3	0	185	-	-
openssl-provider-legacy	dependency	auto (unclassified)	2	1	420	libssl3t64	-
passwd	debian-essential	auto (Priority/Essential)	12	1	4758	adduser	-
perl-base	debian-essential	auto (Priority/Essential)	2	3	7811	liblocale-gettext-perl,libtext-charwidth-perl,libtext-iconv-perl	-
procps	architectural	manual (tiers/architectural.txt)	6	0	2395	-	-
readline-common	dependency	auto (unclassified)	0	1	89	libreadline8t64	-
sed	core	manual (tiers/core.txt)	3	0	991	-	-
sensible-utils	debian-essential	auto (Priority/Essential)	0	1	63	cron	-
sqv	dependency	auto (unclassified)	5	1	1855	apt	-
systemd	architectural	manual (tiers/architectural.txt)	12	4	9944	cron-daemon-common,systemd-sysv,systemd-sysv,udev	-
systemd-sysv	architectural	manual (tiers/architectural.txt)	2	2	97	init,logrotate	-
sysvinit-utils	debian-essential	auto (Priority/Essential)	1	0	104	-	-
tar	debian-essential	auto (Priority/Essential)	3	1	3085	dpkg	-
tzdata	debian-essential	auto (Priority/Essential)	2	0	1361	-	-
udev	architectural	manual (tiers/architectural.txt)	8	0	10236	-	-
util-linux	architectural	manual (tiers/architectural.txt)	15	0	4961	-	-
vim-common	utility	manual (tiers/utility.txt)	0	1	1864	vim-tiny	-
vim-tiny	utility	manual (tiers/utility.txt)	5	0	1831	-	-
whiptail	utility	manual (tiers/utility.txt)	4	0	61	-	-
zlib1g	dependency	auto (unclassified)	1	5	173	dpkg,libapt-pkg7.0,libbpf1,libelf1t64,libssl3t64	-
