adduser	passwd	primary
libapt-pkg7.0	libbz2-1.0	primary
libapt-pkg7.0	libc6	primary
libapt-pkg7.0	libgcc-s1	primary
libapt-pkg7.0	liblz4-1	primary
libapt-pkg7.0	liblzma5	primary
libapt-pkg7.0	libssl3t64	primary
libapt-pkg7.0	libstdc++6	primary
libapt-pkg7.0	libsystemd0	primary
libapt-pkg7.0	libudev1	primary
libapt-pkg7.0	libxxhash0	primary
libapt-pkg7.0	libzstd1	primary
libapt-pkg7.0	zlib1g	primary
libattr1	libc6	primary
libaudit1	libaudit-common	primary
libaudit1	libc6	primary
libaudit1	libcap-ng0	primary
libblkid1	libc6	primary
libbpf1	libc6	primary
libbpf1	libelf1t64	primary
libbpf1	zlib1g	primary
libbsd0	libc6	primary
libbsd0	libmd0	primary
libbz2-1.0	libc6	primary
libc-bin	libc6	primary
libc-bin	libc6	primary
libc6	libgcc-s1	primary
libcap-ng0	libc6	primary
libcap2	libc6	primary
libcap2-bin	libc6	primary
libcap2-bin	libcap2	primary
libcom-err2	libc6	primary
libcrypt1	libc6	primary
libdb5.3t64	libc6	primary
libdebconfclient0	libc6	primary
libedit2	libbsd0	primary
libedit2	libc6	primary
libedit2	libtinfo6	primary
libelf1t64	libc6	primary
libelf1t64	libzstd1	primary
libelf1t64	zlib1g	primary
libext2fs2t64	libc6	primary
libfdisk1	libblkid1	primary
libfdisk1	libc6	primary
libfdisk1	libuuid1	primary
libgcc-s1	gcc-14-base	primary
libgcc-s1	libc6	primary
libgmp10	libc6	primary
libgssapi-krb5-2	libkrb5-3	primary
libgssapi-krb5-2	libc6	primary
libgssapi-krb5-2	libcom-err2	primary
libgssapi-krb5-2	libk5crypto3	primary
libgssapi-krb5-2	libkrb5support0	primary
libhogweed6t64	libc6	primary
libhogweed6t64	libgmp10	primary
libhogweed6t64	libnettle8t64	primary
libidn2-0	libc6	primary
libidn2-0	libunistring5	primary
libjansson4	libc6	primary
libk5crypto3	libc6	primary
libk5crypto3	libkrb5support0	primary
libkeyutils1	libc6	primary
libkmod2	libc6	primary
libkmod2	libssl3t64	primary
libkrb5-3	libkrb5support0	primary
libkrb5-3	libc6	primary
libkrb5-3	libcom-err2	primary
libkrb5-3	libk5crypto3	primary
libkrb5-3	libkeyutils1	primary
libkrb5-3	libssl3t64	primary
libkrb5support0	libc6	primary
liblastlog2-2	libc6	primary
liblastlog2-2	libsqlite3-0	primary
liblocale-gettext-perl	libc6	primary
liblocale-gettext-perl	perl-base	primary
liblocale-gettext-perl	perlapi-5.40.0	primary
liblz4-1	libc6	primary
liblz4-1	libxxhash0	primary
liblzma5	libc6	primary
libmd0	libc6	primary
libmnl0	libc6	primary
libmount1	libblkid1	primary
libmount1	libc6	primary
libmount1	libselinux1	primary
libncursesw6	libtinfo6	primary
libncursesw6	libc6	primary
libnettle8t64	libc6	primary
libnewt0.52	libc6	primary
libnewt0.52	libslang2	primary
libnftables1	libc6	primary
libnftables1	libgmp10	primary
libnftables1	libjansson4	primary
libnftables1	libmnl0	primary
libnftables1	libnftnl11	primary
libnftables1	libxtables12	primary
libnftnl11	libc6	primary
libnftnl11	libmnl0	primary
libpam-modules	libaudit1	primary
libpam-modules	libc6	primary
libpam-modules	libcrypt1	primary
libpam-modules	libdb5.3t64	primary
libpam-modules	libpam0g	primary
libpam-modules	libselinux1	primary
libpam-modules	libsystemd0	primary
libpam-modules	debconf	primary
libpam-modules	debconf-2.0	alt
libpam-modules	libpam-modules-bin	primary
libpam-modules-bin	libaudit1	primary
libpam-modules-bin	libc6	primary
libpam-modules-bin	libcrypt1	primary
libpam-modules-bin	libpam0g	primary
libpam-modules-bin	libselinux1	primary
libpam-modules-bin	libsystemd0	primary
libpam-runtime	debconf	primary
libpam-runtime	debconf-2.0	alt
libpam-runtime	debconf	primary
libpam-runtime	cdebconf	alt
libpam-runtime	libpam-modules	primary
libpam0g	libaudit1	primary
libpam0g	libc6	primary
libpam0g	debconf	primary
libpam0g	debconf-2.0	alt
libpcre2-8-0	libc6	primary
libpopt0	libc6	primary
libproc2-0	libc6	primary
libproc2-0	libsystemd0	primary
libreadline8t64	readline-common	primary
libreadline8t64	libc6	primary
libreadline8t64	libtinfo6	primary
libseccomp2	libc6	primary
libselinux1	libc6	primary
libselinux1	libpcre2-8-0	primary
libsemanage2	libsemanage-common	primary
libsemanage2	libaudit1	primary
libsemanage2	libbz2-1.0	primary
libsemanage2	libc6	primary
libsemanage2	libselinux1	primary
libsemanage2	libsepol2	primary
libsepol2	libc6	primary
libslang2	libc6	primary
libsmartcols1	libc6	primary
libsqlite3-0	libc6	primary
libss2	libcom-err2	primary
libss2	libc6	primary
libssl3t64	libc6	primary
libssl3t64	libzstd1	primary
libssl3t64	zlib1g	primary
libssl3t64	openssl-provider-legacy	primary
libstdc++6	gcc-14-base	primary
libstdc++6	libc6	primary
libstdc++6	libgcc-s1	primary
libsystemd-shared	libacl1	primary
libsystemd-shared	libaudit1	primary
libsystemd-shared	libblkid1	primary
libsystemd-shared	libc6	primary
libsystemd-shared	libcap2	primary
libsystemd-shared	libcrypt1	primary
libsystemd-shared	libmount1	primary
libsystemd-shared	libpam0g	primary
libsystemd-shared	libseccomp2	primary
libsystemd-shared	libselinux1	primary
libsystemd-shared	libssl3t64	primary
libsystemd0	libc6	primary
libsystemd0	libcap2	primary
libtext-charwidth-perl	libc6	primary
libtext-charwidth-perl	perl-base	primary
libtext-charwidth-perl	perlapi-5.40.0	primary
libtext-iconv-perl	libc6	primary
libtext-iconv-perl	perl-base	primary
libtext-iconv-perl	perlapi-5.40.0	primary
libtext-wrapi18n-perl	libtext-charwidth-perl	primary
libtinfo6	libc6	primary
libtirpc3t64	libc6	primary
libtirpc3t64	libgssapi-krb5-2	primary
libtirpc3t64	libtirpc-common	primary
libudev1	libc6	primary
libudev1	libcap2	primary
libunistring5	libc6	primary
libuuid1	libc6	primary
libxtables12	libc6	primary
libxxhash0	libc6	primary
libzstd1	libc6	primary
login	libpam-modules	primary
login	libpam-runtime	primary
login	libaudit1	primary
login	libc6	primary
login	libcrypt1	primary
login	libpam0g	primary
login	login.defs	primary
logrotate	cron	primary
logrotate	anacron	alt
logrotate	cron-daemon	alt
logrotate	systemd-sysv	alt
logrotate	libacl1	primary
logrotate	libc6	primary
logrotate	libpopt0	primary
logrotate	libselinux1	primary
logsave	libc6	primary
mawk	libc6	primary
mount	libblkid1	primary
mount	libc6	primary
mount	libmount1	primary
mount	libselinux1	primary
mount	libsmartcols1	primary
nano	libc6	primary
nano	libncursesw6	primary
nano	libtinfo6	primary
ncurses-bin	libc6	primary
ncurses-bin	libtinfo6	primary
nftables	libnftables1	primary
nftables	libc6	primary
nftables	libedit2	primary
openssl-provider-legacy	libc6	primary
openssl-provider-legacy	libssl3t64	primary
passwd	base-passwd	primary
passwd	libpam-modules	primary
passwd	login.defs	primary
passwd	libacl1	primary
passwd	libattr1	primary
passwd	libaudit1	primary
passwd	libbsd0	primary
passwd	libc6	primary
passwd	libcrypt1	primary
passwd	libpam0g	primary
passwd	libselinux1	primary
passwd	libsemanage2	primary
perl-base	libc6	primary
perl-base	libcrypt1	primary
procps	libc6	primary
procps	libncursesw6	primary
procps	libproc2-0	primary
procps	libsystemd0	primary
procps	libtinfo6	primary
procps	init-system-helpers	primary
sed	libacl1	primary
sed	libc6	primary
sed	libselinux1	primary
sqv	libc6	primary
sqv	libgcc-s1	primary
sqv	libgmp10	primary
sqv	libhogweed6t64	primary
sqv	libnettle8t64	primary
systemd	libacl1	primary
systemd	libapparmor1	primary
systemd	libc6	primary
systemd	libmount1	primary
systemd	libpam0g	primary
systemd	libseccomp2	primary
systemd	libselinux1	primary
systemd	libssl3t64	primary
systemd	libsystemd0	primary
systemd	mount	primary
systemd	libc6	primary
systemd	libsystemd-shared	primary
systemd-sysv	systemd	primary
systemd-sysv	systemd	primary
sysvinit-utils	libc6	primary
tar	libacl1	primary
tar	libc6	primary
tar	libselinux1	primary
tzdata	debconf	primary
tzdata	debconf-2.0	alt
udev	libblkid1	primary
udev	libc6	primary
udev	libsystemd-shared	primary
udev	systemd	primary
udev	systemd-standalone-sysusers	alt
udev	systemd-sysusers	alt
udev	libkmod2	primary
udev	libudev1	primary
util-linux	libpam-modules	primary
util-linux	libpam-runtime	primary
util-linux	libblkid1	primary
util-linux	libc6	primary
util-linux	libcap-ng0	primary
util-linux	libcrypt1	primary
util-linux	liblastlog2-2	primary
util-linux	libmount1	primary
util-linux	libpam0g	primary
util-linux	libselinux1	primary
util-linux	libsmartcols1	primary
util-linux	libsystemd0	primary
util-linux	libtinfo6	primary
util-linux	libudev1	primary
util-linux	libuuid1	primary
vim-tiny	vim-common	primary
vim-tiny	libacl1	primary
vim-tiny	libc6	primary
vim-tiny	libselinux1	primary
vim-tiny	libtinfo6	primary
whiptail	libc6	primary
whiptail	libnewt0.52	primary
whiptail	libpopt0	primary
whiptail	libslang2	primary
zlib1g	libc6	primary
